nVis,nAud,sucVis,sucAud,nTar,ses,animal
35,0,2,0,4,1,J6
88,0,7,0,4,2,J6
93,0,10,0,4,3,J6
103,0,8,0,4,4,J6
85,0,4,0,3,5,J6
65,0,4,0,3,6,J6
123,0,6,0,3,7,J6
36,0,18,0,2,8,J6
24,0,12,0,3,8,J6
84,0,34,0,2,9,J6
15,0,1,0,3,9,J6
153,0,95,0,2,10,J6
110,0,75,0,2,11,J6
57,0,28,0,3,11,J6
94,0,43,0,2,12,J6
29,0,12,0,3,12,J6
184,0,125,0,2,13,J6
43,0,13,0,3,13,J6
100,0,75,0,2,14,J6
68,0,44,0,3,14,J6
53,0,52,0,2,15,J6
260,0,134,0,3,15,J6
160,0,93,0,3,16,J6
274,0,139,0,3,17,J6
62,0,12,0,3,18,J6
50,0,36,0,2,19,J6
106,0,66,0,3,19,J6
273,0,158,0,3,20,J6
55,0,6,0,3,21,J6
10,5,5,3,2,22,J6
116,10,62,3,3,22,J6
97,61,60,26,3,23,J6
78,90,43,34,3,24,J6
137,63,88,27,3,25,J6
114,37,60,13,3,26,J6
94,45,64,27,3,27,J6
59,0,25,0,3,28,J6
95,0,36,0,3,29,J6
101,0,55,0,3,30,J6
48,10,25,1,4,30,J6
77,0,1,0,4,1,J7
90,0,5,0,4,2,J7
115,0,8,0,4,3,J7
112,0,10,0,4,4,J7
67,0,13,0,3,5,J7
45,0,3,0,4,5,J7
96,0,17,0,3,6,J7
139,0,42,0,3,7,J7
166,0,81,0,3,8,J7
63,0,21,0,4,8,J7
156,0,33,0,4,9,J7
124,0,43,0,3,10,J7
42,0,40,0,2,11,J7
166,0,93,0,3,11,J7
17,0,16,0,2,12,J7
223,0,142,0,3,12,J7
321,0,237,0,3,13,J7
78,0,59,0,3,14,J7
72,0,42,0,4,14,J7
233,37,185,14,4,15,J7
154,61,117,31,3,16,J7
27,5,24,1,4,16,J7
68,26,63,19,2,17,J7
74,16,57,6,3,17,J7
43,19,41,17,2,18,J7
157,55,106,26,3,18,J7
192,33,136,12,3,19,J7
190,38,121,11,4,20,J7
0,12,0,10,2,21,J7
146,149,116,76,3,21,J7
55,10,45,3,3,22,J7
164,71,88,15,4,22,J7
134,11,78,5,3,23,J7
87,136,62,62,3,24,J7
89,61,55,20,3,25,J7
109,60,65,35,3,26,J7
105,25,57,6,3,27,J7
86,15,45,4,3,28,J7
70,23,30,2,3,29,J7
77,40,40,9,4,30,J7
64,0,7,0,4,1,J8
93,0,7,0,4,2,J8
103,0,11,0,4,3,J8
166,0,47,0,4,4,J8
132,0,43,0,3,5,J8
101,0,23,0,3,6,J8
94,0,34,0,3,7,J8
124,0,45,0,3,8,J8
149,0,39,0,4,9,J8
64,0,9,0,3,10,J8
56,0,12,0,4,10,J8
100,0,52,0,2,11,J8
95,0,31,0,2,12,J8
113,0,34,0,3,13,J8
46,0,43,0,2,14,J8
135,0,77,0,3,14,J8
169,0,88,0,3,15,J8
142,0,69,0,3,16,J8
50,0,28,0,2,17,J8
49,0,21,0,3,17,J8
73,0,60,0,2,18,J8
94,0,57,0,3,18,J8
10,0,10,0,2,19,J8
128,25,65,5,3,19,J8
33,0,30,0,2,20,J8
34,0,21,0,3,20,J8
115,5,71,2,4,20,J8
227,40,160,14,3,21,J8
62,29,30,12,3,22,J8
91,0,45,0,4,22,J8
83,19,32,7,3,23,J8
82,47,46,13,3,24,J8
102,46,71,17,3,25,J8
123,26,68,7,3,26,J8
78,22,50,5,3,27,J8
107,8,54,0,3,28,J8
73,29,44,8,3,29,J8
68,37,61,16,3,30,J8
18,12,12,5,4,30,J8
89,91,59,23,4,31,J8
53,40,41,10,4,32,J8
17,43,12,16,3,33,J8
27,38,23,4,4,33,J8
0,140,0,63,3,34,J8
0,30,0,16,3,35,J8
0,71,0,21,4,36,J8
0,100,0,21,4,37,J8
0,134,0,61,3,38,J8
0,118,0,73,3,39,J8
0,31,0,14,3,40,J8
43,113,37,35,4,41,J8
2,78,2,19,4,42,J8
55,93,28,26,4,43,J8
17,93,10,20,4,44,J8
150,0,29,0,4,1,J10
122,0,25,0,4,2,J10
141,0,24,0,4,3,J10
97,0,10,0,4,4,J10
101,0,3,0,4,5,J10
93,0,22,0,3,6,J10
107,0,16,0,3,7,J10
103,0,9,0,3,8,J10
57,0,19,0,2,9,J10
80,0,19,0,2,10,J10
94,0,44,0,2,11,J10
85,0,40,0,2,12,J10
56,0,28,0,2,13,J10
73,0,29,0,3,13,J10
35,0,6,0,2,14,J10
87,0,25,0,3,14,J10
74,0,45,0,2,15,J10
79,0,47,0,3,15,J10
91,0,63,0,2,16,J10
104,0,47,0,3,16,J10
92,0,84,0,2,17,J10
154,0,64,0,3,17,J10
204,0,92,0,3,18,J10
213,0,124,0,3,19,J10
61,0,29,0,4,19,J10
53,0,34,0,3,20,J10
146,0,93,0,4,20,J10
201,36,132,6,4,21,J10
263,65,191,18,4,22,J10
135,63,89,32,3,23,J10
13,13,5,1,4,23,J10
85,52,67,19,3,24,J10
93,96,80,46,3,25,J10
78,55,59,18,3,26,J10
131,46,78,19,3,27,J10
107,44,69,15,3,28,J10
100,50,68,19,3,29,J10
71,144,48,41,3,30,J10
101,99,76,24,4,31,J10
0,131,0,71,3,32,J10
0,47,0,14,4,33,J10
0,101,0,58,3,34,J10
0,50,0,23,3,35,J10
0,40,0,19,3,36,J10
0,64,0,26,3,37,J10
0,153,0,53,3,38,J10
0,72,0,15,4,39,J10
0,203,0,102,3,40,J10
0,120,0,68,3,41,J10
0,101,0,42,4,42,J10
0,348,0,122,4,43,J10
0,337,0,98,4,44,J10
24,46,16,14,4,45,J10
21,122,16,40,4,46,J10
