stvr,pval,animal,group,unit,pps,deaf_dur,SGN
0.220905582,0.282754772,I1,ED-US,I1_s01-3,20,216,14143.5
0.152746164,0.755147791,I1,ED-US,I1_s01-3,40,216,14143.5
0.410321784,2.10E-13,I1,ED-US,I1_s01-3,80,216,14143.5
0.187449088,0.506574886,I1,ED-US,I1_s01-3,160,216,14143.5
0.149873493,0.773437669,I1,ED-US,I1_s01-3,320,216,14143.5
0.243047509,0.200042666,I1,ED-US,I1_s01-3,640,216,14143.5
0.080941975,0.672358425,I1,ED-US,I1_s01-4,20,216,14143.5
0.100303978,0.402383083,I1,ED-US,I1_s01-4,40,216,14143.5
0.101667318,0.38480975,I1,ED-US,I1_s01-4,80,216,14143.5
0.146545763,0.050813429,I1,ED-US,I1_s01-4,160,216,14143.5
0.070515201,0.805964321,I1,ED-US,I1_s01-4,320,216,14143.5
0.086127458,0.530621415,I1,ED-US,I1_s01-4,640,216,14143.5
0.165151631,0.425427542,I1,ED-US,I1_s05-2,20,233,14143.5
0.140282553,0.071519037,I1,ED-US,I1_s05-2,40,233,14143.5
0.146642582,0.050538754,I1,ED-US,I1_s05-2,80,233,14143.5
0.110508363,0.280679859,I1,ED-US,I1_s05-2,160,233,14143.5
0.218749256,0.107975475,I1,ED-US,I1_s05-2,320,233,14143.5
0.252378731,0.061608572,I1,ED-US,I1_s05-2,640,233,14143.5
0.065903414,0.855405399,I1,ED-US,I1_s06-4,20,234,14143.5
0.063243077,0.880495014,I1,ED-US,I1_s06-4,40,234,14143.5
0.127601294,0.135169129,I1,ED-US,I1_s06-4,80,234,14143.5
0.06971835,0.815012845,I1,ED-US,I1_s06-4,160,234,14143.5
0.101055195,0.392655816,I1,ED-US,I1_s06-4,320,234,14143.5
0.10384169,0.343036171,I1,ED-US,I1_s06-4,640,234,14143.5
0.065676342,0.857648876,I1,ED-US,I1_s07-2,20,240,14143.5
0.116479551,0.221287895,I1,ED-US,I1_s07-2,40,240,14143.5
0.124069571,0.159161014,I1,ED-US,I1_s07-2,80,240,14143.5
0,1,I1,ED-US,I1_s07-2,160,240,14143.5
0,1,I1,ED-US,I1_s07-2,320,240,14143.5
0,1,I1,ED-US,I1_s07-2,640,240,14143.5
0.122386713,0.171666909,I1,ED-US,I1_s07-3,20,240,14143.5
0,1,I1,ED-US,I1_s07-3,40,240,14143.5
0,1,I1,ED-US,I1_s07-3,80,240,14143.5
0,1,I1,ED-US,I1_s07-3,160,240,14143.5
0,1,I1,ED-US,I1_s07-3,320,240,14143.5
0,1,I1,ED-US,I1_s07-3,640,240,14143.5
0.080349818,0.680525603,I1,ED-US,I1_s07-4,20,240,14143.5
0.093749087,0.491141429,I1,ED-US,I1_s07-4,40,240,14143.5
0.090756769,0.533322553,I1,ED-US,I1_s07-4,80,240,14143.5
0.068568569,0.827708228,I1,ED-US,I1_s07-4,160,240,14143.5
0,1,I1,ED-US,I1_s07-4,320,240,14143.5
0,1,I1,ED-US,I1_s07-4,640,240,14143.5
0.082364459,0.652559433,I1,ED-US,I1_s09-4,20,250,14143.5
0.265275135,0.002752755,I1,ED-US,I1_s09-4,40,250,14143.5
0.0209636,0.999931687,I1,ED-US,I1_s09-4,80,250,14143.5
0.04094494,0.989902396,I1,ED-US,I1_s09-4,160,250,14143.5
0.079105912,0.697514713,I1,ED-US,I1_s09-4,320,250,14143.5
0.051203334,0.894092743,I1,ED-US,I1_s09-4,640,250,14143.5
0.140591345,0.141391212,I1,ED-US,I1_s10-5,20,257,14143.5
0.113703746,0.37722987,I1,ED-US,I1_s10-5,40,257,14143.5
0.092767667,0.638910056,I1,ED-US,I1_s10-5,80,257,14143.5
0.173827683,0.027842476,I1,ED-US,I1_s10-5,160,257,14143.5
0.121693657,0.291613866,I1,ED-US,I1_s10-5,320,257,14143.5
0.218718719,0.008080962,I1,ED-US,I1_s10-5,640,257,14143.5
0.087778362,0.701219096,I1,ED-US,I1_s10-6,20,257,14143.5
0.098349556,0.56720397,I1,ED-US,I1_s10-6,40,257,14143.5
0.210670315,0.002928407,I1,ED-US,I1_s10-6,80,257,14143.5
0.150235308,0.092186567,I1,ED-US,I1_s10-6,160,257,14143.5
0.186825939,0.013228235,I1,ED-US,I1_s10-6,320,257,14143.5
0.083734279,0.657636223,I1,ED-US,I1_s10-6,640,257,14143.5
0.132747907,0.105362831,I1,ED-US,I1_s11-1,20,260,14143.5
0.413758429,3.31E-08,I1,ED-US,I1_s11-1,40,260,14143.5
0.264668204,5.40E-06,I1,ED-US,I1_s11-1,80,260,14143.5
0.487016428,8.33E-11,I1,ED-US,I1_s11-1,160,260,14143.5
0.100094578,0.368913811,I1,ED-US,I1_s11-1,320,260,14143.5
0.057195572,0.700144724,I1,ED-US,I1_s11-1,640,260,14143.5
0.727830545,0,I1,ED-US,I1_s12-2,20,264,14143.5
0.829939148,0,I1,ED-US,I1_s12-2,40,264,14143.5
0.78534762,0,I1,ED-US,I1_s12-2,80,264,14143.5
0.252679308,0.136056706,I1,ED-US,I1_s14-2,20,272,14143.5
0.230910975,0.22874973,I1,ED-US,I1_s14-2,40,272,14143.5
0.18370607,0.534190968,I1,ED-US,I1_s14-2,80,272,14143.5
0.252462416,0.136816187,I1,ED-US,I1_s14-2,160,272,14143.5
0.331910766,0.010720073,I1,ED-US,I1_s14-2,320,272,14143.5
0.075128059,0.974098363,I1,ED-US,I1_s14-2,640,272,14143.5
0.092270182,0.511902872,I1,ED-US,I1_s14-5,20,272,14143.5
0.12573557,0.147469339,I1,ED-US,I1_s14-5,40,272,14143.5
0,1,I1,ED-US,I1_s14-5,80,272,14143.5
0.172986469,0.010005976,I1,ED-US,I1_s14-5,160,272,14143.5
0,1,I1,ED-US,I1_s14-5,320,272,14143.5
0,1,I1,ED-US,I1_s14-5,640,272,14143.5
0.126899696,0.568328354,I1,ED-US,I1_s14-6,20,272,14143.5
0.166782247,0.217777474,I1,ED-US,I1_s14-6,40,272,14143.5
0.216325932,0.035187191,I1,ED-US,I1_s14-6,80,272,14143.5
0.1060527,0.769992534,I1,ED-US,I1_s14-6,160,272,14143.5
0.176589888,0.15999587,I1,ED-US,I1_s14-6,320,272,14143.5
0.214998783,0.066138884,I1,ED-US,I1_s14-6,640,272,14143.5
0.214980562,0.000444894,I1,ED-US,I1_s15-2,20,276,14143.5
0.325758305,8.91E-09,I1,ED-US,I1_s15-2,40,276,14143.5
0.608973773,3.33E-16,I1,ED-US,I1_s15-2,80,276,14143.5
0.370135256,7.58E-07,I1,ED-US,I1_s15-2,160,276,14143.5
0.146585769,0.091041988,I1,ED-US,I1_s15-2,320,276,14143.5
0.199925862,0.024659398,I1,ED-US,I1_s15-2,640,276,14143.5
0.350214362,0.060411612,I1,ED-US,I1_s16-6,20,280,14143.5
0.179308917,0.006514939,I1,ED-US,I1_s16-6,40,280,14143.5
0.402780113,5.94E-13,I1,ED-US,I1_s16-6,80,280,14143.5
0.275254616,1.92E-06,I1,ED-US,I1_s16-6,160,280,14143.5
0.276141178,1.76E-06,I1,ED-US,I1_s16-6,320,280,14143.5
